날짜,품목명,가격
20040102.0,깐마늘(국산),5345
20040102.0,딸기,1105
20040102.0,양파,1898
20040103.0,깐마늘(국산),5632
20040103.0,딸기,1105
20040103.0,양파,1898
20040105.0,깐마늘(국산),5632
20040105.0,딸기,1105
20040105.0,양파,1898
20040106.0,깐마늘(국산),5795
20040106.0,딸기,1105
20040106.0,양파,1772
20040107.0,깐마늘(국산),5820
20040107.0,딸기,1080
20040107.0,양파,1822
20040108.0,깐마늘(국산),5820
20040108.0,딸기,1038
20040108.0,양파,1822
20040109.0,깐마늘(국산),5820
20040109.0,딸기,1038
20040109.0,양파,1822
20040110.0,깐마늘(국산),5820
20040110.0,딸기,1038
20040110.0,양파,1822
20040112.0,깐마늘(국산),5820
20040112.0,딸기,940
20040112.0,양파,1822
20040113.0,깐마늘(국산),5820
20040113.0,딸기,940
20040113.0,양파,1922
20040114.0,깐마늘(국산),5820
20040114.0,딸기,940
20040114.0,양파,1922
20040115.0,깐마늘(국산),5820
20040115.0,딸기,940
20040115.0,양파,1922
20040116.0,깐마늘(국산),5820
20040116.0,딸기,928
20040116.0,양파,1922
20040117.0,깐마늘(국산),5820
20040117.0,딸기,910
20040117.0,양파,1922
20040119.0,깐마늘(국산),5820
20040119.0,딸기,935
20040119.0,양파,1922
20040120.0,깐마늘(국산),5945
20040120.0,딸기,1110
20040120.0,양파,1922
20040124.0,깐마늘(국산),5945
20040124.0,딸기,1110
20040124.0,양파,1922
20040126.0,깐마늘(국산),6100
20040126.0,딸기,1110
20040126.0,양파,1922
20040127.0,깐마늘(국산),6100
20040127.0,딸기,1110
20040127.0,양파,1922
20040128.0,깐마늘(국산),5945
20040128.0,딸기,1028
20040128.0,양파,1922
20040129.0,깐마늘(국산),5945
20040129.0,딸기,922
20040129.0,양파,1922
20040130.0,깐마늘(국산),5945
20040130.0,딸기,898
20040130.0,양파,1922
20040131.0,깐마늘(국산),5945
20040131.0,딸기,898
20040131.0,양파,1922
20040202.0,깐마늘(국산),6070
20040202.0,딸기,898
20040202.0,양파,1898
20040203.0,깐마늘(국산),6070
20040203.0,딸기,788
20040203.0,양파,1898
20040204.0,깐마늘(국산),6070
20040204.0,딸기,788
20040204.0,양파,1898
20040205.0,깐마늘(국산),6070
20040205.0,딸기,788
20040205.0,양파,1898
20040206.0,깐마늘(국산),6070
20040206.0,딸기,812
20040206.0,양파,1898
20040207.0,깐마늘(국산),6070
20040207.0,딸기,812
20040207.0,양파,1898
20040209.0,깐마늘(국산),6070
20040209.0,딸기,812
20040209.0,양파,1898
20040210.0,깐마늘(국산),6070
20040210.0,딸기,788
20040210.0,양파,1898
20040211.0,깐마늘(국산),6070
20040211.0,딸기,800
20040211.0,양파,1898
20040212.0,깐마늘(국산),6070
20040212.0,딸기,812
20040212.0,양파,1898
20040213.0,깐마늘(국산),6070
20040213.0,딸기,812
20040213.0,양파,1898
20040214.0,깐마늘(국산),6070
20040214.0,딸기,812
20040214.0,양파,1898
20040216.0,깐마늘(국산),6070
20040216.0,딸기,832
20040216.0,양파,1872
20040217.0,깐마늘(국산),6070
20040217.0,딸기,858
20040217.0,양파,1848
20040218.0,깐마늘(국산),6070
20040218.0,딸기,858
20040218.0,양파,1848
20040219.0,깐마늘(국산),6070
20040219.0,딸기,858
20040219.0,양파,1848
20040220.0,깐마늘(국산),6070
20040220.0,딸기,858
20040220.0,양파,1848
20040221.0,깐마늘(국산),6070
20040221.0,딸기,858
20040221.0,양파,1848
20040223.0,깐마늘(국산),6070
20040223.0,딸기,842
20040223.0,양파,1898
20040224.0,깐마늘(국산),6070
20040224.0,딸기,818
20040224.0,양파,1898
20040225.0,깐마늘(국산),6070
20040225.0,딸기,818
20040225.0,양파,1898
20040226.0,깐마늘(국산),6070
20040226.0,딸기,820
20040226.0,양파,1898
20040227.0,깐마늘(국산),6070
20040227.0,딸기,768
20040227.0,양파,1898
20040228.0,깐마늘(국산),6070
20040228.0,딸기,768
20040228.0,양파,1898
20040302.0,깐마늘(국산),6070
20040302.0,딸기,732
20040302.0,양파,1898
20040303.0,깐마늘(국산),6070
20040303.0,딸기,720
20040303.0,양파,1898
20040304.0,깐마늘(국산),6195
20040304.0,딸기,745
20040304.0,양파,1898
20040305.0,깐마늘(국산),6195
20040305.0,딸기,745
20040305.0,양파,1898
20040306.0,깐마늘(국산),6195
20040306.0,딸기,745
20040306.0,양파,1898
20040308.0,깐마늘(국산),6320
20040308.0,딸기,732
20040308.0,양파,1898
20040309.0,깐마늘(국산),6320
20040309.0,딸기,722
20040309.0,양파,1898
20040310.0,깐마늘(국산),6570
20040310.0,딸기,735
20040310.0,양파,1898
20040311.0,깐마늘(국산),6570
20040311.0,딸기,732
20040311.0,양파,1898
20040312.0,깐마늘(국산),6570
20040312.0,딸기,745
20040312.0,양파,1898
20040313.0,깐마늘(국산),6570
20040313.0,딸기,745
20040313.0,양파,1898
20040315.0,깐마늘(국산),6570
20040315.0,딸기,745
20040315.0,양파,1898
20040316.0,깐마늘(국산),6570
20040316.0,딸기,732
20040316.0,양파,1898
20040317.0,깐마늘(국산),6570
20040317.0,딸기,720
20040317.0,양파,1898
20040318.0,깐마늘(국산),6570
20040318.0,딸기,700
20040318.0,양파,1898
20040319.0,깐마늘(국산),6570
20040319.0,딸기,700
20040319.0,양파,1898
20040320.0,깐마늘(국산),6570
20040320.0,딸기,700
20040320.0,양파,1898
20040322.0,깐마늘(국산),6570
20040322.0,딸기,700
20040322.0,양파,1858
20040323.0,깐마늘(국산),6570
20040323.0,딸기,760
20040323.0,양파,1808
20040324.0,깐마늘(국산),6570
20040324.0,딸기,785
20040324.0,양파,1808
20040325.0,깐마늘(국산),6570
20040325.0,딸기,738
20040325.0,양파,1808
20040326.0,깐마늘(국산),6570
20040326.0,딸기,712
20040326.0,양파,1808
20040327.0,깐마늘(국산),6570
20040327.0,딸기,712
20040327.0,양파,1808
20040329.0,깐마늘(국산),6695
20040329.0,딸기,692
20040329.0,양파,1808
20040330.0,깐마늘(국산),6695
20040330.0,딸기,680
20040330.0,양파,1808
20040331.0,깐마늘(국산),6695
20040331.0,딸기,672
20040331.0,양파,1818
20040401.0,깐마늘(국산),6695
20040401.0,딸기,672
20040401.0,양파,1517
20040402.0,깐마늘(국산),6695
20040402.0,딸기,672
20040402.0,양파,1517
20040403.0,깐마늘(국산),6695
20040403.0,딸기,672
20040403.0,양파,1411
20040406.0,깐마늘(국산),6695
20040406.0,딸기,635
20040406.0,양파,1385
20040407.0,깐마늘(국산),6695
20040407.0,딸기,618
20040407.0,양파,1439
20040408.0,깐마늘(국산),6820
20040408.0,딸기,618
20040408.0,양파,1439
20040409.0,깐마늘(국산),6820
20040409.0,딸기,618
20040409.0,양파,1384
20040410.0,깐마늘(국산),6820
20040410.0,딸기,618
20040410.0,양파,1384
20040412.0,깐마늘(국산),7070
20040412.0,딸기,630
20040412.0,양파,1482
20040413.0,깐마늘(국산),7070
20040413.0,딸기,675
20040413.0,양파,1482
20040414.0,깐마늘(국산),7070
20040414.0,딸기,675
20040414.0,양파,1476
20040416.0,깐마늘(국산),7070
20040416.0,딸기,700
20040416.0,양파,1476
20040417.0,깐마늘(국산),6920
20040417.0,딸기,700
20040417.0,양파,1476
20040419.0,깐마늘(국산),6920
20040419.0,딸기,658
20040419.0,양파,1482
20040420.0,깐마늘(국산),6945
20040420.0,딸기,658
20040420.0,양파,1495
20040421.0,깐마늘(국산),6945
20040421.0,딸기,670
20040421.0,양파,1508
20040422.0,깐마늘(국산),7070
20040422.0,딸기,670
20040422.0,양파,1508
20040423.0,깐마늘(국산),7070
20040423.0,딸기,670
20040423.0,양파,1508
20040424.0,깐마늘(국산),7070
20040424.0,딸기,670
20040424.0,양파,1200
20040426.0,깐마늘(국산),7070
20040426.0,딸기,670
20040426.0,양파,1230
20040427.0,깐마늘(국산),7070
20040427.0,딸기,670
20040427.0,양파,1138
20040428.0,깐마늘(국산),7070
20040428.0,딸기,670
20040428.0,양파,1138
20040429.0,깐마늘(국산),7070
20040429.0,딸기,670
20040429.0,양파,1138
20040430.0,깐마늘(국산),7070
20040430.0,딸기,680
20040430.0,양파,1182
20040501.0,깐마늘(국산),7070
20040501.0,딸기,680
